canonical_id,type,label_key,value_type,deprecated,replacement,cardinality
has_concept,Relation,relation.has_concept,ConceptRef,false,,Set
located_in,Relation,relation.located_in,EntityRef,false,
has_element,Relation,relation.has_element,Value,false,
has_state,Relation,relation.has_state,State,false,
related_to,Relation,relation.related_to,EntityRef,false,
water_depth,Relation,relation.water_depth,State,false,
occupies,Relation,relation.occupies,EntityRef,false,
state,Relation,relation.state,State,false,
movement_mode,Relation,relation.movement_mode,State,false,
physical_profile,Relation,relation.physical_profile,Value,false,
has_physical_effect,Relation,relation.has_physical_effect,Value,false,
active_physical_effect,Relation,relation.active_physical_effect,Value,false,
compatible_with,Relation,relation.compatible_with,Value,false,
attachment_profile,Relation,relation.attachment_profile,Value,false,
pickup_behavior,Relation,relation.pickup_behavior,Value,false,
has_slot,Relation,relation.has_slot,Value,false,
supports_behavior,Relation,relation.supports_behavior,Value,false,
mobility_mode,Relation,relation.mobility_mode,State,false,
has_material,Relation,relation.has_material,Value,false,
density_class,Relation,relation.density_class,State,false,
supported_by,Relation,relation.supported_by,EntityRef,false,
resting_on,Relation,relation.resting_on,EntityRef,false,
has_capability,Relation,relation.has_capability,Value,false,
grants_capability,Relation,relation.grants_capability,Value,false,
grants_skill,Relation,relation.grants_skill,Value,false,
skill_grant_requires_rule,Relation,relation.skill_grant_requires_rule,Rule,false,
has_skill,Relation,relation.has_skill,Value,false,
has_temporary_skill,Relation,relation.has_temporary_skill,Value,false,
can_use_skill,Relation,relation.can_use_skill,Value,false,
equipped_by,Relation,relation.equipped_by,EntityRef,false,
carried_by,Relation,relation.carried_by,EntityRef,false,
has_rule_block,Relation,relation.has_rule_block,Value,false,
animation_intent,Relation,relation.animation_intent,State,false,
attachment_kind,Relation,relation.attachment_kind,Value,false,
attachment_relation_predicate,Relation,relation.attachment_relation_predicate,Value,false,
attachment_relation_direction,Relation,relation.attachment_relation_direction,Value,false,
attacks,Relation,relation.attacks,EntityRef,false,
attacks_with,Relation,relation.attacks_with,EntityRef,false,
carried_item,Relation,relation.carried_item,EntityRef,false,
cold_damage_tick,Relation,relation.cold_damage_tick,Value,false,
combined,Relation,relation.combined,EntityRef,false,
completed_quest,Relation,relation.completed_quest,Value,false,
core_vitality,Relation,relation.core_vitality,Number,false,
current_tick,Relation,relation.current_tick,Value,false,
emits,Relation,relation.emits,Value,false,
equipped,Relation,relation.equipped,EntityRef,false,
equipped_item,Relation,relation.equipped_item,EntityRef,false,
equipped_part,Relation,relation.equipped_part,EntityRef,false,
exposed_to,Relation,relation.exposed_to,Value,false,
fears,Relation,relation.fears,ConceptRef,false,
has_item,Relation,relation.has_item,EntityRef,false,
helps,Relation,relation.helps,EntityRef,false,
immersion_depth,Relation,relation.immersion_depth,State,false,
incompatible_with,Relation,relation.incompatible_with,Value,false,
inspects,Relation,relation.inspects,EntityRef,false,
intent,Relation,relation.intent,Value,false,
interaction_intent,Relation,relation.interaction_intent,Value,false,
mood,Relation,relation.mood,State,false,
mounted_actor,Relation,relation.mounted_actor,EntityRef,false,
mounted_in,Relation,relation.mounted_in,EntityRef,false,
movement_state,Relation,relation.movement_state,State,false,
near,Relation,relation.near,EntityRef,false,
offers,Relation,relation.offers,Value,false,
physical_state,Relation,relation.physical_state,State,false,
records,Relation,relation.records,Value,false,
requires_concept,Relation,relation.requires_concept,ConceptRef,false,
slot_id,Relation,relation.slot_id,Value,false,
slot_owner,Relation,relation.slot_owner,EntityRef,false,
standing_on,Relation,relation.standing_on,EntityRef,false,
status,Relation,relation.status,State,false,
subject,Relation,relation.subject,EntityRef,false,
surface,Relation,relation.surface,Value,false,
swimming_activity,Relation,relation.swimming_activity,State,false,
talks_to,Relation,relation.talks_to,EntityRef,false,
target,Relation,relation.target,EntityRef,false,
temperature,Relation,relation.temperature,State,false,
unequip_part,Relation,relation.unequip_part,EntityRef,false,
applicable_to,Relation,relation.applicable_to,ConceptRef,false,
Actor,Concept,concept.Actor,Unknown,false,
Agent,Concept,concept.Agent,Unknown,false,
Creature,Concept,concept.Creature,Unknown,false,
NPC,Concept,concept.NPC,Unknown,false,
PlayerControlled,Concept,concept.PlayerControlled,Unknown,false,
Humanoid,Concept,concept.Humanoid,Unknown,false,
Plant,Concept,concept.Plant,Unknown,false,
Dry,Concept,concept.Dry,Unknown,false,
Fire,Concept,concept.Fire,Unknown,false,
Rock,Concept,concept.Rock,Unknown,false,
Resource,Concept,concept.Resource,Unknown,false,
Landmark,Concept,concept.Landmark,Unknown,false,
TerrainTile,Concept,concept.TerrainTile,Unknown,false,
WaterRegion,Concept,concept.WaterRegion,Unknown,false,
QuestBoard,Concept,concept.QuestBoard,Unknown,false,
Relation,Concept,concept.Relation,Unknown,false,
Reputation,Concept,concept.Reputation,Unknown,false,
CharacterPart,Concept,concept.CharacterPart,Unknown,false,
TerrainZone,Concept,concept.TerrainZone,Unknown,false,
QuestState,Concept,concept.QuestState,Unknown,false,
FloatableObject,Concept,concept.FloatableObject,Unknown,false,
Wearable,Concept,concept.Wearable,Unknown,false,
Carryable,Concept,concept.Carryable,Unknown,false,
Mountable,Concept,concept.Mountable,Unknown,false,
FlotationDevice,Concept,concept.FlotationDevice,Unknown,false,
PhysicalProfile,Concept,concept.PhysicalProfile,Unknown,false,
AttachmentProfile,Concept,concept.AttachmentProfile,Unknown,false,
Deep,State,state.Deep,Unknown,false,
Shallow,State,state.Shallow,Unknown,false,
Unknown,State,state.Unknown,Unknown,false,
Swimming,State,state.Swimming,Unknown,false,
Wading,State,state.Wading,Unknown,false,
Floating,State,state.Floating,Unknown,false,
Dynamic,State,state.Dynamic,Unknown,false,
Anchored,State,state.Anchored,Unknown,false,
Light,State,state.Light,Unknown,false,
Heavy,State,state.Heavy,Unknown,false,
Afraid,State,state.Afraid,Unknown,false,
Burning,State,state.Burning,Unknown,false,
Calm,State,state.Calm,Unknown,false,
ColdEnvironment,State,state.ColdEnvironment,Unknown,false,
DeathReaction,State,state.DeathReaction,Unknown,false,
Discomfort,State,state.Discomfort,Unknown,false,
Distrustful,State,state.Distrustful,Unknown,false,
